code,pref,town,kana1,kana2
402303,福岡県,糸島市,ﾌｸｵｶｹﾝ,ｲﾄｼﾏｼ
402311,福岡県,那珂川市,ﾌｸｵｶｹﾝ,ﾅｶｶﾞﾜｼ
403415,福岡県,宇美町,ﾌｸｵｶｹﾝ,ｳﾐﾏﾁ
403423,福岡県,篠栗町,ﾌｸｵｶｹﾝ,ｻｻｸﾞﾘﾏﾁ
403431,福岡県,志免町,ﾌｸｵｶｹﾝ,ｼﾒﾏﾁ
403440,福岡県,須恵町,ﾌｸｵｶｹﾝ,ｽｴﾏﾁ
403458,福岡県,新宮町,ﾌｸｵｶｹﾝ,ｼﾝｸﾞｳﾏﾁ
403482,福岡県,久山町,ﾌｸｵｶｹﾝ,ﾋｻﾔﾏﾏﾁ
403491,福岡県,粕屋町,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ
403814,福岡県,芦屋町,ﾌｸｵｶｹﾝ,ｱｼﾔﾏﾁ
403822,福岡県,水巻町,ﾌｸｵｶｹﾝ,ﾐｽﾞﾏｷﾏﾁ
403831,福岡県,岡垣町,ﾌｸｵｶｹﾝ,ｵｶｶﾞｷﾏﾁ
403849,福岡県,遠賀町,ﾌｸｵｶｹﾝ,ｵﾝｶﾞﾁｮｳ
404012,福岡県,小竹町,ﾌｸｵｶｹﾝ,ｺﾀｹﾏﾁ
404021,福岡県,鞍手町,ﾌｸｵｶｹﾝ,ｸﾗﾃﾏﾁ
404217,福岡県,桂川町,ﾌｸｵｶｹﾝ,ｹｲｾﾝﾏﾁ
404471,福岡県,筑前町,ﾌｸｵｶｹﾝ,ﾁｸｾﾞﾝﾏﾁ
404489,福岡県,東峰村,ﾌｸｵｶｹﾝ,ﾄｳﾎｳﾑﾗ
405035,福岡県,大刀洗町,ﾌｸｵｶｹﾝ,ﾀﾁｱﾗｲﾏﾁ
405221,福岡県,大木町,ﾌｸｵｶｹﾝ,ｵｵｷﾏﾁ
405442,福岡県,広川町,ﾌｸｵｶｹﾝ,ﾋﾛｶﾜﾏﾁ
406015,福岡県,香春町,ﾌｸｵｶｹﾝ,ｶﾜﾗﾏﾁ
406023,福岡県,添田町,ﾌｸｵｶｹﾝ,ｿｴﾀﾞﾏﾁ
406040,福岡県,糸田町,ﾌｸｵｶｹﾝ,ｲﾄﾀﾞﾏﾁ
406058,福岡県,川崎町,ﾌｸｵｶｹﾝ,ｶﾜｻｷﾏﾁ
406082,福岡県,大任町,ﾌｸｵｶｹﾝ,ｵｵﾄｳﾏﾁ
406091,福岡県,赤村,ﾌｸｵｶｹﾝ,ｱｶﾑﾗ
406104,福岡県,福智町,ﾌｸｵｶｹﾝ,ﾌｸﾁﾏﾁ
406210,福岡県,苅田町,ﾌｸｵｶｹﾝ,ｶﾝﾀﾞﾏﾁ
406252,福岡県,みやこ町,ﾌｸｵｶｹﾝ,ﾐﾔｺﾏﾁ
406422,福岡県,吉富町,ﾌｸｵｶｹﾝ,ﾖｼﾄﾐﾏﾁ
406465,福岡県,上毛町,ﾌｸｵｶｹﾝ,ｺｳｹﾞﾏﾁ
406473,福岡県,築上町,ﾌｸｵｶｹﾝ,ﾁｸｼﾞｮｳﾏﾁ
403491,福岡県,糟屋郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,京都郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,八女郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,遠賀郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,嘉穂郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,築上郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,田川郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,朝倉郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,鞍手郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
403491,福岡県,三井郡,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ***
401013,北九州市,門司区,きたきゅうしゅうしもじく
401030,北九州市,若松区,きたきゅうしゅうしわかまつく
401056,北九州市,戸畑区,きたきゅうしゅうしとばたく
401064,北九州市,小倉北区,きたきゅうしゅうしこくらきたく
401072,北九州市,小倉南区,きたきゅうしゅうしこくらみなみく
401081,北九州市,八幡東区,きたきゅうしゅうしやはたひがしく
401099,北九州市,八幡西区,きたきゅうしゅうしやはたにしく
401315,福岡市,東区,ふくおかしひがしく
401323,福岡市,博多区,ふくおかしはかたく
401331,福岡市,中央区,ふくおかしちゅうおうく
401340,福岡市,南区,ふくおかしみなみく
401358,福岡市,西区,ふくおかしにしく
401366,福岡市,城南区,ふくおかしじょうなんく
401374,福岡市,早良区,ふくおかしさわらく
